time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,0.00,180.00,999.00
40,180.00,85.71,94.28,565.71
60,180.00,189.28,-9.28,0.00
80,180.00,300.00,-120.00,0.00
100,180.00,0.00,180.00,999.00
120,180.00,82.14,97.85,587.14
140,180.00,189.28,-9.28,0.00
160,180.00,164.28,15.71,94.28
180,180.00,96.42,83.57,501.42
200,180.00,103.57,76.42,458.57
220,180.00,150.00,30.00,180.00
240,180.00,139.28,40.71,244.28
260,180.00,117.85,62.14,372.85
280,180.00,121.42,58.57,351.42
300,180.00,132.14,47.85,287.14
320,180.00,135.71,44.28,265.71
340,180.00,121.42,58.57,351.42
360,180.00,125.00,54.99,329.99
380,180.00,132.14,47.85,287.14
400,180.00,132.14,47.85,287.14
420,180.00,125.00,54.99,329.99
440,180.00,125.00,54.99,329.99
460,180.00,128.57,51.42,308.57
480,180.00,132.14,47.85,287.14
500,180.00,125.00,54.99,329.99
520,180.00,128.57,51.42,308.57
540,180.00,128.57,51.42,308.57
560,180.00,125.00,54.99,329.99
580,180.00,132.14,47.85,287.14
600,180.00,125.00,54.99,329.99
620,180.00,128.57,51.42,308.57
640,180.00,128.57,51.42,308.57
660,180.00,128.57,51.42,308.57
680,180.00,128.57,51.42,308.57
700,180.00,125.00,54.99,329.99
720,180.00,128.57,51.42,308.57
740,180.00,128.57,51.42,308.57
760,180.00,128.57,51.42,308.57
780,180.00,128.57,51.42,308.57
800,180.00,125.00,54.99,329.99
820,180.00,128.57,51.42,308.57
840,180.00,132.14,47.85,287.14
860,180.00,125.00,54.99,329.99
880,180.00,125.00,54.99,329.99
900,180.00,132.14,47.85,287.14
920,180.00,128.57,51.42,308.57
940,180.00,125.00,54.99,329.99
960,180.00,128.57,51.42,308.57
980,180.00,128.57,51.42,308.57
1000,180.00,128.57,51.42,308.57
1020,180.00,125.00,54.99,329.99
1040,180.00,128.57,51.42,308.57
1060,180.00,132.14,47.85,287.14
1080,180.00,125.00,54.99,329.99
1100,180.00,125.00,54.99,329.99
1120,180.00,132.14,47.85,287.14
1140,180.00,128.57,51.42,308.57
1160,180.00,125.00,54.99,329.99
1180,180.00,128.57,51.42,308.57
1200,180.00,128.57,51.42,308.57
1220,180.00,128.57,51.42,308.57
1240,180.00,128.57,51.42,308.57
1260,180.00,125.00,54.99,329.99
1280,180.00,128.57,51.42,308.57
1300,180.00,128.57,51.42,308.57
1320,180.00,128.57,51.42,308.57
1340,180.00,128.57,51.42,308.57
1360,180.00,125.00,54.99,329.99
1380,180.00,128.57,51.42,308.57
1400,180.00,132.14,47.85,287.14
1420,180.00,125.00,54.99,329.99
1440,180.00,125.00,54.99,329.99
1460,180.00,132.14,47.85,287.14
1480,180.00,128.57,51.42,308.57
1500,180.00,125.00,54.99,329.99
1520,180.00,128.57,51.42,308.57
1540,180.00,128.57,51.42,308.57
1560,180.00,128.57,51.42,308.57
1580,180.00,128.57,51.42,308.57
1600,180.00,125.00,54.99,329.99
1620,180.00,128.57,51.42,308.57
1640,180.00,128.57,51.42,308.57
1660,180.00,128.57,51.42,308.57
1680,180.00,128.57,51.42,308.57
1700,180.00,125.00,54.99,329.99
1720,180.00,128.57,51.42,308.57
1740,180.00,132.14,47.85,287.14
1760,180.00,125.00,54.99,329.99
1780,180.00,125.00,54.99,329.99
1800,180.00,132.14,47.85,287.14
1820,180.00,128.57,51.42,308.57
1840,180.00,125.00,54.99,329.99
1860,180.00,128.57,51.42,308.57
1880,180.00,128.57,51.42,308.57
1900,180.00,128.57,51.42,308.57
1920,180.00,125.00,54.99,329.99
1940,180.00,128.57,51.42,308.57
1960,180.00,128.57,51.42,308.57
1980,180.00,128.57,51.42,308.57
2000,180.00,128.57,51.42,308.57
2020,180.00,128.57,51.42,308.57
2040,180.00,125.00,54.99,329.99
2060,180.00,128.57,51.42,308.57
2080,180.00,128.57,51.42,308.57
2100,180.00,128.57,51.42,308.57
2120,180.00,128.57,51.42,308.57
2140,180.00,125.00,54.99,329.99
2160,180.00,128.57,51.42,308.57
2180,180.00,132.14,47.85,287.14
2200,180.00,125.00,54.99,329.99
2220,180.00,125.00,54.99,329.99
2240,180.00,132.14,47.85,287.14
2260,180.00,128.57,51.42,308.57
2280,180.00,125.00,54.99,329.99
2300,180.00,128.57,51.42,308.57
2320,180.00,128.57,51.42,308.57
2340,180.00,128.57,51.42,308.57
2360,180.00,128.57,51.42,308.57
2380,180.00,125.00,54.99,329.99
2400,180.00,128.57,51.42,308.57
2420,180.00,128.57,51.42,308.57
2440,180.00,128.57,51.42,308.57
2460,180.00,128.57,51.42,308.57
2480,180.00,125.00,54.99,329.99
2500,180.00,128.57,51.42,308.57
2520,180.00,132.14,47.85,287.14
2540,180.00,125.00,54.99,329.99
2560,180.00,125.00,54.99,329.99
2580,180.00,132.14,47.85,287.14
2600,180.00,128.57,51.42,308.57
2620,180.00,125.00,54.99,329.99
2640,180.00,128.57,51.42,308.57
2660,180.00,128.57,51.42,308.57
2680,180.00,128.57,51.42,308.57
2700,180.00,128.57,51.42,308.57
2720,180.00,125.00,54.99,329.99
2740,180.00,128.57,51.42,308.57
2760,180.00,132.14,47.85,287.14
2780,180.00,125.00,54.99,329.99
2800,180.00,125.00,54.99,329.99
2820,180.00,132.14,47.85,287.14
2840,180.00,128.57,51.42,308.57
2860,180.00,125.00,54.99,329.99
2880,180.00,128.57,51.42,308.57
2900,180.00,128.57,51.42,308.57
2920,180.00,128.57,51.42,308.57
2940,180.00,128.57,51.42,308.57
2960,180.00,125.00,54.99,329.99
2980,180.00,128.57,51.42,308.57
3000,180.00,132.14,47.85,287.14
3020,180.00,125.00,54.99,329.99
3040,180.00,125.00,54.99,329.99
3060,180.00,132.14,47.85,287.14
3080,180.00,128.57,51.42,308.57
3100,180.00,125.00,54.99,329.99
3120,180.00,128.57,51.42,308.57
3140,180.00,128.57,51.42,308.57
3160,180.00,128.57,51.42,308.57
3180,180.00,125.00,54.99,329.99
3200,180.00,132.14,47.85,287.14
3220,180.00,128.57,51.42,308.57
3240,180.00,125.00,54.99,329.99
3260,180.00,125.00,54.99,329.99
3280,180.00,132.14,47.85,287.14
3300,180.00,132.14,47.85,287.14
3320,180.00,121.42,58.57,351.42
3340,180.00,128.57,51.42,308.57
3360,180.00,132.14,47.85,287.14
3380,180.00,125.00,54.99,329.99
3400,180.00,128.57,51.42,308.57
3420,180.00,128.57,51.42,308.57
3440,180.00,128.57,51.42,308.57
3460,180.00,128.57,51.42,308.57
3480,180.00,125.00,54.99,329.99
3500,180.00,128.57,51.42,308.57
3520,180.00,132.14,47.85,287.14
3540,180.00,125.00,54.99,329.99
3560,180.00,125.00,54.99,329.99
3580,180.00,132.14,47.85,287.14
3600,180.00,128.57,51.42,308.57
3620,180.00,125.00,54.99,329.99
3640,180.00,128.57,51.42,308.57
3660,180.00,128.57,51.42,308.57
3680,180.00,128.57,51.42,308.57
3700,180.00,128.57,51.42,308.57
3720,180.00,125.00,54.99,329.99
3740,180.00,128.57,51.42,308.57
3760,180.00,132.14,47.85,287.14
3780,180.00,125.00,54.99,329.99
3800,180.00,128.57,51.42,308.57
3820,180.00,128.57,51.42,308.57
3840,180.00,125.00,54.99,329.99
3860,180.00,128.57,51.42,308.57
3880,180.00,132.14,47.85,287.14
3900,180.00,125.00,54.99,329.99
3920,180.00,128.57,51.42,308.57
3940,180.00,128.57,51.42,308.57
3960,180.00,128.57,51.42,308.57
3980,180.00,125.00,54.99,329.99
4000,180.00,132.14,47.85,287.14
4020,180.00,125.00,54.99,329.99
4040,180.00,128.57,51.42,308.57
4060,180.00,128.57,51.42,308.57
4080,180.00,128.57,51.42,308.57
4100,180.00,125.00,54.99,329.99
4120,180.00,132.14,47.85,287.14
4140,180.00,128.57,51.42,308.57
4160,180.00,125.00,54.99,329.99
4180,180.00,125.00,54.99,329.99
4200,180.00,132.14,47.85,287.14
4220,180.00,128.57,51.42,308.57
4240,180.00,128.57,51.42,308.57
4260,180.00,125.00,54.99,329.99
4280,180.00,128.57,51.42,308.57
4300,180.00,128.57,51.42,308.57
4320,180.00,128.57,51.42,308.57
4340,180.00,128.57,51.42,308.57
4360,180.00,128.57,51.42,308.57
4380,180.00,125.00,54.99,329.99
4400,180.00,128.57,51.42,308.57
4420,180.00,128.57,51.42,308.57
4440,180.00,132.14,47.85,287.14
4460,180.00,125.00,54.99,329.99
4480,180.00,125.00,54.99,329.99
4500,180.00,128.57,51.42,308.57
4520,180.00,132.14,47.85,287.14
4540,180.00,125.00,54.99,329.99
4560,180.00,128.57,51.42,308.57
4580,180.00,128.57,51.42,308.57
4600,180.00,128.57,51.42,308.57
4620,180.00,125.00,54.99,329.99
4640,180.00,132.14,47.85,287.14
4660,180.00,125.00,54.99,329.99
4680,180.00,128.57,51.42,308.57
4700,180.00,128.57,51.42,308.57
4720,180.00,128.57,51.42,308.57
4740,180.00,128.57,51.42,308.57
4760,180.00,125.00,54.99,329.99
4780,180.00,128.57,51.42,308.57
4800,180.00,132.14,47.85,287.14
4820,180.00,125.00,54.99,329.99
4840,180.00,128.57,51.42,308.57
4860,180.00,128.57,51.42,308.57
4880,180.00,125.00,54.99,329.99
4900,180.00,132.14,47.85,287.14
4920,180.00,125.00,54.99,329.99
4940,180.00,128.57,51.42,308.57
