time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,0.00,180.00,999.00
40,180.00,82.14,97.85,690.87
60,180.00,196.42,-16.42,0.00
80,180.00,171.42,8.57,66.38
100,180.00,96.42,83.57,596.40
120,180.00,110.71,69.28,500.55
140,180.00,160.71,19.28,151.71
160,180.00,150.00,30.00,228.51
180,180.00,114.28,65.71,482.45
200,180.00,125.00,54.99,410.75
220,180.00,150.00,30.00,237.55
240,180.00,142.85,37.14,289.78
260,180.00,125.00,54.99,418.08
280,180.00,132.14,47.85,370.95
300,180.00,142.85,37.14,298.18
320,180.00,139.28,40.71,325.62
340,180.00,132.14,47.85,378.49
360,180.00,135.71,44.28,356.15
380,180.00,142.85,37.14,308.38
400,180.00,135.71,44.28,361.04
420,180.00,135.71,44.28,363.69
440,180.00,139.28,40.71,341.14
460,180.00,139.28,40.71,343.58
480,180.00,139.28,40.71,346.02
500,180.00,139.28,40.71,348.47
520,180.00,135.71,44.28,376.12
540,180.00,139.28,40.71,353.57
560,180.00,142.85,37.14,330.79
580,180.00,139.28,40.71,358.24
600,180.00,139.28,40.71,360.68
620,180.00,139.28,40.71,363.12
640,180.00,142.85,37.14,340.35
660,180.00,139.28,40.71,367.79
680,180.00,139.28,40.71,370.24
700,180.00,142.85,37.14,347.47
720,180.00,142.85,37.14,349.69
740,180.00,139.28,40.71,377.14
760,180.00,139.28,40.71,379.58
780,180.00,146.42,33.57,331.59
800,180.00,142.85,37.14,358.82
820,180.00,139.28,40.71,386.27
840,180.00,142.85,37.14,363.49
860,180.00,142.85,37.14,365.72
880,180.00,146.42,33.57,342.74
900,180.00,142.85,37.14,369.97
920,180.00,139.28,40.71,397.41
940,180.00,146.42,33.57,349.42
960,180.00,146.42,33.57,351.44
980,180.00,142.85,37.14,378.67
1000,180.00,142.85,37.14,380.89
1020,180.00,142.85,37.14,383.12
1040,180.00,150.00,30.00,334.92
1060,180.00,142.85,37.14,387.15
1080,180.00,146.42,33.57,364.17
1100,180.00,146.42,33.57,366.18
1120,180.00,142.85,37.14,393.41
1140,180.00,146.42,33.57,370.42
1160,180.00,150.00,30.00,347.22
1180,180.00,146.42,33.57,374.24
1200,180.00,142.85,37.14,401.47
1220,180.00,150.00,30.00,353.27
1240,180.00,146.42,33.57,380.28
1260,180.00,146.42,33.57,382.29
1280,180.00,150.00,30.00,359.09
1300,180.00,150.00,30.00,360.89
1320,180.00,142.85,37.14,413.12
1340,180.00,150.00,30.00,364.92
1360,180.00,150.00,30.00,366.72
1380,180.00,150.00,30.00,368.52
1400,180.00,146.42,33.57,395.54
1420,180.00,146.42,33.57,397.55
1440,180.00,153.57,26.42,349.14
1460,180.00,150.00,30.00,375.94
1480,180.00,150.00,30.00,377.74
1500,180.00,146.42,33.57,404.75
1520,180.00,153.57,26.42,356.34
1540,180.00,150.00,30.00,383.14
1560,180.00,150.00,30.00,384.94
1580,180.00,150.00,30.00,386.74
1600,180.00,153.57,26.42,363.32
1620,180.00,150.00,30.00,390.12
1640,180.00,146.42,33.57,417.14
1660,180.00,157.14,22.85,343.51
1680,180.00,150.00,30.00,395.31
1700,180.00,150.00,30.00,397.11
1720,180.00,153.57,26.42,373.69
1740,180.00,153.57,26.42,375.28
1760,180.00,150.00,30.00,402.08
1780,180.00,153.57,26.42,378.67
1800,180.00,150.00,30.00,405.47
1820,180.00,157.14,22.85,356.84
1840,180.00,150.00,30.00,408.64
1860,180.00,153.57,26.42,385.22
1880,180.00,153.57,26.42,386.81
1900,180.00,153.57,26.42,388.39
1920,180.00,153.57,26.42,389.98
1940,180.00,157.14,22.85,366.35
1960,180.00,150.00,30.00,418.15
1980,180.00,153.57,26.42,394.74
2000,180.00,160.71,19.28,345.89
2020,180.00,150.00,30.00,422.69
2040,180.00,153.57,26.42,399.28
2060,180.00,157.14,22.85,375.65
2080,180.00,157.14,22.85,377.02
2100,180.00,153.57,26.42,403.61
2120,180.00,153.57,26.42,405.19
2140,180.00,153.57,26.42,406.78
2160,180.00,160.71,19.28,357.94
2180,180.00,153.57,26.42,409.52
2200,180.00,153.57,26.42,411.11
2220,180.00,160.71,19.28,362.27
2240,180.00,153.57,26.42,413.85
2260,180.00,157.14,22.85,390.22
2280,180.00,157.14,22.85,391.59
2300,180.00,153.57,26.42,418.18
2320,180.00,160.71,19.28,369.34
2340,180.00,157.14,22.85,395.71
2360,180.00,153.57,26.42,422.29
2380,180.00,157.14,22.85,398.67
2400,180.00,160.71,19.28,374.82
2420,180.00,157.14,22.85,401.19
2440,180.00,153.57,26.42,427.78
2460,180.00,160.71,19.28,378.94
2480,180.00,160.71,19.28,380.09
2500,180.00,153.57,26.42,431.68
2520,180.00,157.14,22.85,408.05
2540,180.00,164.28,15.71,358.99
2560,180.00,157.14,22.85,410.37
2580,180.00,157.14,22.85,411.74
2600,180.00,157.14,22.85,413.11
2620,180.00,160.71,19.28,389.27
2640,180.00,160.71,19.28,390.42
2660,180.00,157.14,22.85,416.79
2680,180.00,160.71,19.28,392.95
2700,180.00,157.14,22.85,419.32
2720,180.00,160.71,19.28,395.48
2740,180.00,160.71,19.28,396.64
2760,180.00,160.71,19.28,397.79
2780,180.00,160.71,19.28,398.95
2800,180.00,157.14,22.85,425.32
2820,180.00,160.71,19.28,401.48
2840,180.00,164.28,15.71,377.42
2860,180.00,160.71,19.28,403.58
2880,180.00,157.14,22.85,429.95
2900,180.00,164.28,15.71,380.89
2920,180.00,164.28,15.71,381.84
2940,180.00,157.14,22.85,433.21
2960,180.00,160.71,19.28,409.37
2980,180.00,164.28,15.71,385.31
3000,180.00,160.71,19.28,411.47
3020,180.00,160.71,19.28,412.62
3040,180.00,164.28,15.71,388.57
3060,180.00,164.28,15.71,389.51
3080,180.00,160.71,19.28,415.67
3100,180.00,160.71,19.28,416.82
3120,180.00,160.71,19.28,417.98
3140,180.00,167.85,12.14,368.71
3160,180.00,160.71,19.28,419.87
3180,180.00,164.28,15.71,395.81
3200,180.00,160.71,19.28,421.97
3220,180.00,164.28,15.71,397.91
3240,180.00,164.28,15.71,398.85
3260,180.00,164.28,15.71,399.79
3280,180.00,160.71,19.28,425.95
3300,180.00,164.28,15.71,401.89
3320,180.00,167.85,12.14,377.62
3340,180.00,160.71,19.28,428.78
3360,180.00,160.71,19.28,429.94
3380,180.00,167.85,12.14,380.67
3400,180.00,160.71,19.28,431.82
3420,180.00,164.28,15.71,407.77
3440,180.00,167.85,12.14,383.49
3460,180.00,164.28,15.71,409.44
3480,180.00,160.71,19.28,435.59
3500,180.00,167.85,12.14,386.32
3520,180.00,167.85,12.14,387.05
3540,180.00,164.28,15.71,412.99
3560,180.00,167.85,12.14,388.72
3580,180.00,160.71,19.28,439.88
3600,180.00,164.28,15.71,415.82
3620,180.00,171.42,8.57,366.34
3640,180.00,164.28,15.71,417.28
3660,180.00,160.71,19.28,443.44
3680,180.00,167.85,12.14,394.17
3700,180.00,164.28,15.71,420.11
3720,180.00,164.28,15.71,421.05
3740,180.00,167.85,12.14,396.78
3760,180.00,167.85,12.14,397.51
3780,180.00,164.28,15.71,423.45
3800,180.00,164.28,15.71,424.39
3820,180.00,171.42,8.57,374.91
3840,180.00,164.28,15.71,425.85
3860,180.00,167.85,12.14,401.58
3880,180.00,167.85,12.14,402.31
3900,180.00,164.28,15.71,428.25
3920,180.00,167.85,12.14,403.98
3940,180.00,167.85,12.14,404.71
3960,180.00,164.28,15.71,430.65
3980,180.00,167.85,12.14,406.38
4000,180.00,167.85,12.14,407.11
4020,180.00,167.85,12.14,407.84
4040,180.00,164.28,15.71,433.78
4060,180.00,167.85,12.14,409.51
4080,180.00,167.85,12.14,410.24
4100,180.00,167.85,12.14,410.97
4120,180.00,160.71,19.28,462.12
4140,180.00,171.42,8.57,387.64
4160,180.00,171.42,8.57,388.15
4180,180.00,164.28,15.71,439.09
4200,180.00,171.42,8.57,389.61
4220,180.00,167.85,12.14,415.34
4240,180.00,164.28,15.71,441.28
4260,180.00,167.85,12.14,417.01
4280,180.00,171.42,8.57,392.52
4300,180.00,167.85,12.14,418.25
4320,180.00,167.85,12.14,418.98
4340,180.00,167.85,12.14,419.71
4360,180.00,167.85,12.14,420.44
4380,180.00,167.85,12.14,421.17
4400,180.00,167.85,12.14,421.89
4420,180.00,164.28,15.71,447.84
4440,180.00,167.85,12.14,423.57
4460,180.00,167.85,12.14,424.29
4480,180.00,171.42,8.57,399.81
4500,180.00,167.85,12.14,425.54
4520,180.00,167.85,12.14,426.27
4540,180.00,164.28,15.71,452.21
4560,180.00,171.42,8.57,402.72
4580,180.00,171.42,8.57,403.24
4600,180.00,167.85,12.14,428.97
4620,180.00,164.28,15.71,454.91
4640,180.00,171.42,8.57,405.42
4660,180.00,171.42,8.57,405.94
4680,180.00,167.85,12.14,431.67
4700,180.00,164.28,15.71,457.61
4720,180.00,171.42,8.57,408.12
